,address,Eligible Tokens Held,SPAD Holder,Token Held Allocation,BOS Collection,BOS Allocation,Unique STAMP Collections,STAMP Held Allocation,Total Allocation Amt
186,bc1qmf0q2ydyjyk0wy6chyacht62j9pzkgw674hjc2,3,true,18000,0,0,0,0,18000
187,bc1q846uhucr6556ueq3qjqzhve0xttmjtvuq074pj,3,false,9000,0,0,0,0,9000
188,bc1q36dln6dwht9uly95hm3cjf8ffw2t67ndrq695k,3,false,9000,0,0,1,5000,14000
189,bc1qydwjmseuqsnp3uuf7atq3n4v8a6yypyztpqlp7,3,false,9000,0,0,1,5000,14000
190,bc1qnda6thnt6j3ahc6vzj7lrc8py8rl4pehpn42wm,3,true,18000,0,0,0,0,18000
191,bc1q8l0umcsvtdkhtuya3daxhs2kh0xhxq8yyrgwh3,3,true,18000,0,0,0,0,18000
192,bc1qtmc96dtj93y9refhhrueqwa3cc0uegnmhkm2fd,3,false,9000,0,0,0,0,9000
193,bc1qd0l3kpuxvp7tep6zj442ny7r5yzfrsecp6t8h4,3,false,9000,0,0,0,0,9000
194,bc1q6jyls08s99q5kp44xnr8lsmc7ef86wwfzlhnqt,3,true,18000,0,0,0,0,18000
195,bc1q79ke9l0g9uul679s08827eghxxn260q54ldet4,3,false,9000,0,0,0,0,9000
196,bc1qvla0yhg73tc8ld7zklg3vvvjeaw6zkcj7rtr3h,3,false,9000,0,0,0,0,9000
197,bc1qehc8yxk3y8wmnxf0lk88s5ydqpr3akjef33skq,3,true,18000,0,0,1,5000,23000
198,bc1qcf7l0k8dppze05gu7f39egl3zdy38wrq228hu4,3,false,9000,0,0,0,0,9000
199,bc1q94xp2c0rzw9q7fdmdephhmejmyfv2re237qnmp,3,false,9000,0,0,0,0,9000
200,bc1qjynszw2gvfzsf6l4epwp6raxne0mcktnmlju84,3,false,9000,0,0,0,0,9000
201,bc1qc3cc8shs3k7v6z574dfxhf4mj8vgtqmcaknnz9,3,false,9000,0,0,0,0,9000
202,bc1qad8r3fvkxa7nm4sqq0pstz7dgtgh73lqj6p4at,3,false,9000,0,0,0,0,9000
203,bc1q6lcm0zvt0txyqvz90828ahzvy58rzk6fxmh6g5,3,false,9000,0,0,0,0,9000
204,bc1qeyjslqp9g7xh673c8fjeghs6fhrn9q5neuv4av,3,false,9000,0,0,0,0,9000
205,bc1q775lwmesg753xfurqgm275l8tx45kf0ga9s02c,3,false,9000,0,0,0,0,9000
206,bc1qs5fljzpgh6mmfu6um4s7x5uzlk2v2gkxmkk2na,3,false,9000,0,0,0,0,9000
207,bc1qpe7kzya8rmww2mf2f452tk8d08j85x733rcnl8,3,false,9000,0,0,0,0,9000
208,bc1qf9ktfwmu0um7rqqvzyhkhaqp6h405ta8dxpyjt,3,false,9000,0,0,0,0,9000
209,bc1qyr3cj2e6zu0e65lnnqfkh7uc523de283vzadjw,3,false,9000,0,0,0,0,9000
210,1EqM7imHsi3TPpKzdNJGMfi9k278bJLFDn,3,false,9000,1,5000,1,5000,14000
211,bc1qfsyr2me93cp6alu4u2ytamur398gf0etj0g8xl,3,false,9000,0,0,0,0,9000
212,bc1qkeh2427hpqn5a32yzk9fgh87v308pdpwshek8n,3,false,9000,0,0,0,0,9000
213,bc1quadhcamcrkdhpxzjzvlmpzz8h7edf52wurcqaq,3,false,9000,0,0,0,0,9000
214,bc1pca4p4u6fltrxttneg48gtt5fnr55vdph3j7nm6ngp044pj3zk76qv56uy6,3,false,9000,0,0,0,0,9000
215,bc1qzl5xt45gazvj2j4su2xdm5tftqkckgst5hhald,3,false,9000,1,5000,2,10000,19000
216,bc1qccka82jgu7mx4etp3adcjur9j7dux4lxs76922,3,false,9000,0,0,0,0,9000
217,bc1pjv8sm4ga57ee98a6pavlr0ezl5vv3uc4cfjk8gzgsh386glh6crsy33m5q,3,false,9000,0,0,0,0,9000
218,bc1qy28m0hynhmyj5n8ml8m5grq8tplgcy6s85fyq9,3,false,9000,0,0,0,0,9000
219,bc1qmnsxh57c7yxfl3cpzdz6lwg0vscmqwvjxwydhf,3,false,9000,0,0,0,0,9000
220,bc1q39expkrnsyal7hzp5w0xmk8sgm459rmh5ezmh8,3,false,9000,0,0,0,0,9000
221,bc1qnq8juzgzcc53fhvp80l2gsw873su6jpqhf7l4c,3,false,9000,0,0,0,0,9000
222,bc1qxnxax28xs0zz4m6erakvycu33np8zmf0jzvm6m,3,false,9000,0,0,0,0,9000
223,bc1q905weyg9uk7aj2pp47lehy4rjrme2r8nvxg6q3,3,false,9000,0,0,0,0,9000
224,bc1q7pphnv0w7zq55y6nfsavp37ueck8kg0p44l22g,3,false,9000,0,0,0,0,9000
225,1ihnYbFQomp66Mrw1TFiM2nSqUyUCKxux,3,false,9000,0,0,0,0,9000
226,bc1q3za25q2lvcw49qtcdupg0kzgsuqqxr0c8sqdp9,3,false,9000,0,0,0,0,9000
227,bc1qhl8un8urkx65kyfrc4dwmgjpz93lqnktwqkavn,3,false,9000,0,0,0,0,9000
228,bc1qavcu9akw4shl6are7z3k2956uwchs0qnwj02rt,3,false,9000,0,0,0,0,9000
229,bc1qyll7wekxu8spf8f680we7v2hyf7dhmq3vh6q7h,3,false,9000,0,0,0,0,9000
230,18qE5AgvWnBr7WNApB7DvHbphdWC5SPdbj,3,false,9000,0,0,1,5000,14000
231,bc1qsz3awf90ux3x47vfu9m924x0mmdy2wlfsn9su5,3,false,9000,0,0,0,0,9000
232,bc1qugsqatektfe4uxsc4edr4kjdf7qqs29pvwjunt,3,false,9000,0,0,0,0,9000
233,bc1qz5wm5vh4s6qv98e9su5xfyuygfk5xae8jsm57d,3,false,9000,0,0,0,0,9000
234,bc1qpl4flrsju83u0x2u5rzshm3xxekzlnpj382uug,3,false,9000,0,0,0,0,9000
235,bc1p00mtcjsrhry5fjxdre7rrtrcd3pppn9znnnfchu4v3adky9unv5q8rts6n,3,false,9000,0,0,0,0,9000
236,bc1qkknq5gw7vhkvmnsljhryenz3w2rcyvyy06haph,3,false,9000,0,0,0,0,9000
237,bc1qne38psgpwyvqjl57u4ljq3s0jrq4astnekhx2h,3,false,9000,0,0,0,0,9000
