address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,lowest_blockHeight,highest_blockHeight,eligible
bc1qj9nec03w2k47us6vra2gvk6znc7y9kwuhxpcw7,0,0,0,0,0,1178000.0,0,0,823330,823330,No
bc1qmmf7fv05pm7h6fe8mxt8h7aay527lvxr9lnc4k,0,0,0,0,0,1170000.0,0,0,833272,833272,No
bc1qls09swqs4ur7apv7aeda3445xdjqcme2d4pu00,0,0,1249000.0,0,0,1150000.0,0,0,824527,833864,No
bc1qnx4wv8kusvut2rrwajgy3cu7sm5lhpf882zup2,0,0,2320000.0,0,0,1150000.0,30000.0,0,821034,833904,No
bc1q2dfrph65shy678h37fxj79t2wd8rhuk2zzphzk,0,0,1054845.0,25000.0,350000.0,1142000.0,40000.0,0,797531,834538,No
bc1q2dv4am99t76hzk2z3n4skfscjnhhjahrj7pguz,0,0,0,0,220000.0,1140638.0,20000.0,700000.0,823099,835119,No
bc1q6spw7aufd32vfnkvg00xqagzpd5gk976qzt5s4,0,0,520000.0,75000.0,0,1140000.0,0,0,820111,820125,No
bc1qw6vfur5huk6pw8cl2zrxgan6pltgcvfeka52yc,100000.0,0,1712000.0,50000.0,0,1120000.0,1050000.0,100000.0,822991,835647,No
bc1q7vujj5fr60slre76lxa972ktka3x9ex3yzhh20,0,0,0,0,0,1100100.0,0,0,826967,826967,No
bc1q93339z55k2yrvphnhx9qd2x92696xpq2gyad9j,0,0,0,0,0,1100000.0,0,2500000.0,797929,798809,No
bc1qcu58qret8wlkhsl69ddga79rlwwgtvzn56kgcc,0,0,0,0,0,1100000.0,0,0,789776,789776,No
bc1q46qcexkhzeh4k79vv7pkqp9jq87w4hnatpw0re,0,0,0,200000.0,600000.0,1100000.0,180000.0,0,790249,835368,No
bc1q5mxl0lmtjldz8mwt5kltnds749hjdx0agesq8y,0,0,0,0,0,1100000.0,0,0,789776,789776,No
bc1qyjs878wa5scugdmerwzujq5ygt9gs90ren5a59,0,0,0,200001.0,0,1100000.0,0,0,798402,834915,No
bc1qpeyrh8vp02wa6w7x6u7aeqvrhgd53vla4r0f0g,0,0,0,0,0,1100000.0,0,0,834502,834502,No
bc1qpx7lqftxwsuj09pxujvv00cekjjyx37sx5lrf4,0,0,0,0,0,1100000.0,0,0,789780,789780,No
bc1qrdk77ps8j3s7t93gqfxely4esjm6mt5etrf23c,0,0,0,0,0,1099900.0,0,0,835936,835936,No
bc1qc8ynes0adu2jpexlm8sw2ks8kxjapeu37hhcrt,0,0,0,0,0,1090000.0,0,0,820338,820338,No
bc1qp6nsglgxa7jdpg4dlay5ylhuuj6dpmwculflac,0,0,1413000.0,0,0,1085000.0,131250.0,0,830385,833997,No
bc1qqcp7cw7fjpk0ckd05u4zpfygux33lfm39krtgw,0,0,1260000.0,0,0,1065000.0,900000.0,0,789278,831867,No
