address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,stamp_count_andy_gone_pepe,stamp_count_bos_nft,stamp_count_fridapepe_by_lu,stamp_count_frogtheculture,stamp_count_garbagepailstamps,stamp_count_hnftpepe,stamp_count_immortalpepes,stamp_count_k_everywhere-fineartpepe-pepelost_inart,stamp_count_memes_by_lu,stamp_count_stampshroomz,stamp_count_thiccc,stamp_count_vandalmigos,stamp_count_vivalastamps_nft,stamp_count__total,stamp_count_unique,SPAD_Bonus
bc1qpv46xlzslqtv9yjjrx6guscvt34dmhahdevmvj,0.0,0.0,0.0,0.0,0.0,2429000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qrcwa6g4kn0radryrr90xaxmqd2vqmj7p60p2nl,0.0,0.0,100000.0,65000.0,0.0,2400000.0,0.0,12000000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,false
bc1q56gxvv0j574z7zv23wym2qvuq9p3wnmdg0qpuu,0.0,0.0,0.0,0.0,0.0,2399000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qx37ckwpy34p8023tnx60tm4mr44g4ddzlw23t6,0.0,0.0,0.0,0.0,0.0,2300000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qnh04gcylqdaph3frfvkuzw5g4pemwt0nru0pzn,0.0,0.0,0.0,0.0,0.0,2297998.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qjhzz3323648x8l90dwanajc00eer2calrwcl7q,0.0,0.0,0.0,0.0,0.0,2233347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q8n2tqzcvej2d74dvn675ef7n7j6taw8l6zc9q5,0.0,0.0,4200000.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qtz45uyjpq2f5jhgjj4k6gufvtuwryse6c36cnn,0.0,0.0,0.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qtjteq5sk0jzye8k3ay7xjlaawancxrrah87c99,0.0,0.0,0.0,0.0,0.0,2156000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qqhhqt07a0e6599g7dldtdvwd7ezpepnt6lwa00,0.0,0.0,0.0,0.0,0.0,2150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q4lckuyn8e7ze84cqppat540aymcs9ul7768rx7,0.0,0.0,0.0,0.0,0.0,2150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1pq9qpxxsd9zm03hs7hx5c06555uvpuhpduuek548zpemlj8sw6rkqqq76x0,0.0,0.0,0.0,0.0,0.0,2131000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qa5avwjzq3990349s8vumgcue4ycakhm39gjlqe,100000.0,0.0,2100000.0,0.0,100000.0,2100000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,true
bc1qdlyh7rcm5rymxk9y6v6huspzq32uw55700tcte,0.0,0.0,0.0,0.0,0.0,2100000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,false
bc1q3raz037jq6r26f9eqhads3llh9uh5d4jmqu0az,0.0,0.0,0.0,0.0,0.0,2080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q0hxmnh2uy38z58u2ylu4yadyrw0gawhnhval6x,0.0,0.0,1407300.0,0.0,0.0,2075000.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qugl9p73nwp6yjtfke6fct7jgghfd4a02vjf3ep,0.0,0.0,0.0,0.0,0.0,2050000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qayqy4e05m0rmfqqrhkvdlggv4c6qtzwnwrka54,0.0,0.0,0.0,0.0,0.0,2030428.0,0.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q660dr8kn7st79ssexetjt0vnhmpa0jzhqget6w,0.0,0.0,0.0,0.0,0.0,2010112.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q97wzmfyf3lmdjqejlzgnkf4en7hzarfph4kx2x,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q6aw3zaxemk0h9ry736nwhfrc8d279q4pg0mzdt,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q54pxqnwkcph6n4mqadwt0qqsc4q68dqee2gvhx,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
